,Judet,Localitate
0,Alba,Abrud
1,Alba,Achimețești
2,Alba,Acmariu
3,Alba,Aiud
4,Alba,Alba Iulia
5,Alba,Albac
6,Alba,Alecuș
7,Alba,Almașu de Mijloc
8,Alba,Almașu Mare
9,Alba,Ampoița
10,Alba,Anghelești
11,Alba,Arieșeni
12,Alba,Aronești
13,Alba,Arți
14,Alba,Asinip
15,Alba,Avram Iancu
16,Alba,Avrămești
17,Alba,Avrămești
18,Alba,Baba
19,Alba,Baia de Arieș
20,Alba,Balomiru de Câmp
21,Alba,Băcăinți
22,Alba,Bădăi
23,Alba,Băgău
24,Alba,Băi
25,Alba,Bălcaciu
26,Alba,Bălești
27,Alba,Bălești-Cătun
28,Alba,Bălmoșești
29,Alba,Bărăști
30,Alba,Bărbești
31,Alba,Băzești
32,Alba,Bârdești
33,Alba,Bârlești
34,Alba,Bârlești
35,Alba,Bârlești
36,Alba,Bârlești-Cătun
37,Alba,Bârsana
38,Alba,Bârzan
39,Alba,Bârzogani
40,Alba,Beldiu
41,Alba,Benic
42,Alba,Berghin
43,Alba,Beța
44,Alba,Bidigești
45,Alba,Biharia
46,Alba,Biia
47,Alba,Bilănești
48,Alba,Bisericani
49,Alba,Bistra
50,Alba,Blaj
51,Alba,Blandiana
52,Alba,Blidești
53,Alba,Bobărești
54,Alba,Bobărești
55,Alba,Bocești
56,Alba,Bodești
57,Alba,Bodrești
58,Alba,Bogdănești
59,Alba,Bogdănești
60,Alba,Boglești
61,Alba,Boldești
62,Alba,Bolovănești
63,Alba,Bordeștii Poieni
64,Alba,Botești
65,Alba,Botești
66,Alba,Boțani
67,Alba,Boz
68,Alba,Brădeana
69,Alba,Brădești
70,Alba,Brădet
71,Alba,Brăzești
72,Alba,Bubești
73,Alba,Bucerdea Grânoasă
74,Alba,Bucerdea Vinoasă
75,Alba,Bucium
76,Alba,Bucium-Sat
77,Alba,Budăiești
78,Alba,Budeni
79,Alba,Bulbuc
80,Alba,Buninginea
81,Alba,Bunta
82,Alba,Burzești
83,Alba,Burzonești
84,Alba,Butești
85,Alba,Butești
86,Alba,Capu Dealului
87,Alba,Carpen
